,id,Locality,Type of property,Subtype of property,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Fireplace,Terrace,Terrace area,Garden,Garden area,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building
10603,20168348,2018,HOUSE,HOUSE,485000.0,7,217.0,1,-1,0,1,4.0,-1,0.0,-1.0,70.0,2,-1,TO_BE_DONE_UP
10606,20013395,4000,APARTMENT,APARTMENT,210000.0,1,68.0,1,0,0,1,5.0,-1,0.0,-1.0,-1.0,2,0,AS_NEW
10607,10552073,8400,APARTMENT,APARTMENT,229000.0,2,90.0,1,-1,0,1,9.0,-1,0.0,-1.0,-1.0,1,0,GOOD
10608,10564858,1070,APARTMENT,APARTMENT,249000.0,3,105.0,1,0,0,1,7.0,-1,0.0,-1.0,-1.0,2,0,GOOD
10609,20184153,2600,APARTMENT,APARTMENT,279000.0,3,85.0,1,-1,0,1,5.0,-1,0.0,-1.0,-1.0,4,0,JUST_RENOVATED
10610,20162975,1180,APARTMENT,DUPLEX,300000.0,2,90.0,1,-1,1,-1,0.0,-1,0.0,-1.0,-1.0,2,0,GOOD
10611,10563343,1160,APARTMENT,GROUND_FLOOR,365000.0,1,71.0,1,0,0,1,14.0,1,124.0,124.0,-1.0,2,0,JUST_RENOVATED
10612,10201043,8300,APARTMENT,APARTMENT,445000.0,1,72.0,1,-1,0,-1,0.0,-1,0.0,-1.0,-1.0,2,-1,GOOD
10613,20172660,8300,APARTMENT,APARTMENT,595000.0,2,75.0,1,-1,0,1,0.0,-1,0.0,-1.0,-1.0,-1,-1,GOOD
10616,20283093,2490,APARTMENT,PENTHOUSE,245000.0,2,102.0,1,-1,0,1,14.0,-1,0.0,-1.0,-1.0,2,-1,UNDEFINED
10621,20319080,1180,HOUSE,TOWN_HOUSE,930000.0,5,324.0,1,-1,0,1,55.0,1,120.0,120.0,203.0,2,0,GOOD
10622,20314413,7330,APARTMENT,TRIPLEX,250000.0,3,170.0,1,0,0,1,18.0,-1,0.0,-1.0,-1.0,3,0,AS_NEW
10623,20316167,9800,APARTMENT,APARTMENT,262000.0,2,91.0,1,0,0,1,8.0,-1,0.0,-1.0,-1.0,-1,-1,GOOD
10624,20316245,9800,APARTMENT,APARTMENT,277000.0,2,91.0,1,0,0,1,4.0,-1,0.0,-1.0,-1.0,-1,-1,GOOD
10625,20317282,9800,APARTMENT,APARTMENT,292000.0,2,97.0,1,0,0,1,8.0,-1,0.0,-1.0,-1.0,-1,-1,GOOD
10626,20317283,9800,APARTMENT,APARTMENT,350000.0,2,97.0,1,0,0,1,20.0,-1,0.0,-1.0,-1.0,-1,-1,GOOD
10627,20317697,9051,APARTMENT,GROUND_FLOOR,260000.0,1,76.0,1,0,0,1,12.0,-1,0.0,-1.0,-1.0,2,0,AS_NEW
10628,20317691,9051,APARTMENT,APARTMENT,390000.0,3,96.0,1,0,0,1,29.0,-1,0.0,-1.0,-1.0,2,0,AS_NEW
10629,20320142,1000,APARTMENT,APARTMENT,360000.0,2,95.0,1,-1,0,1,6.0,-1,0.0,-1.0,-1.0,4,-1,AS_NEW
10630,20317648,9940,APARTMENT,GROUND_FLOOR,295000.0,1,80.0,1,0,0,1,15.0,-1,0.0,-1.0,-1.0,2,0,AS_NEW
10631,20317671,9940,APARTMENT,GROUND_FLOOR,360000.0,2,103.0,1,0,0,1,21.0,-1,0.0,-1.0,-1.0,2,0,AS_NEW
10632,20320286,1000,APARTMENT,APARTMENT,325000.0,2,92.0,1,-1,0,-1,0.0,-1,0.0,-1.0,-1.0,4,-1,UNDEFINED
10633,20320067,1000,APARTMENT,GROUND_FLOOR,364000.0,2,99.0,1,-1,0,1,12.0,-1,0.0,-1.0,-1.0,4,-1,AS_NEW
10634,20320060,1000,APARTMENT,GROUND_FLOOR,386000.0,3,110.0,1,-1,0,1,6.0,-1,0.0,-1.0,-1.0,4,-1,AS_NEW
10635,20319020,9000,APARTMENT,APARTMENT,435000.0,1,67.0,1,-1,0,1,15.0,1,31.0,31.0,-1.0,-1,-1,GOOD
10636,20315444,1325,APARTMENT,APARTMENT,343960.0,2,83.0,1,0,0,1,6.0,-1,0.0,-1.0,-1.0,-1,0,UNDEFINED
10637,20312274,8300,APARTMENT,APARTMENT,885000.0,2,99.0,-1,0,0,-1,0.0,-1,0.0,-1.0,-1.0,-1,-1,AS_NEW
10638,20312327,8300,APARTMENT,APARTMENT,925000.0,2,99.0,-1,0,0,-1,0.0,-1,0.0,-1.0,-1.0,-1,-1,AS_NEW
10639,20312344,8300,APARTMENT,APARTMENT,1095000.0,2,79.0,-1,0,0,-1,0.0,-1,0.0,-1.0,-1.0,-1,-1,AS_NEW
10640,20312301,8300,APARTMENT,APARTMENT,1975000.0,2,144.0,-1,0,0,-1,0.0,-1,0.0,-1.0,-1.0,-1,-1,AS_NEW
10641,20312248,8300,APARTMENT,APARTMENT,2975000.0,4,186.0,-1,0,0,-1,0.0,-1,0.0,-1.0,-1.0,-1,-1,AS_NEW
10642,20313741,2180,APARTMENT,APARTMENT,325000.0,2,92.0,1,-1,0,1,20.0,-1,0.0,-1.0,-1.0,2,-1,UNDEFINED
10643,20320724,1140,APARTMENT,DUPLEX,395000.0,3,105.0,1,0,0,1,10.0,1,25.0,25.0,-1.0,2,0,AS_NEW
10644,20317930,9700,HOUSE,HOUSE,275000.0,7,231.0,-1,0,0,1,0.0,-1,0.0,-1.0,170.0,2,-1,GOOD
